temperature,vibration,humidity,pressure,energy_consumption,maintenance_required
77.66,58.43,59.63,2.48,0.77,0
69.49,74.21,39.77,4.12,1.44,0
77.46,54.1,71.62,1.53,4.46,0
92.68,54.61,60.8,3.75,3.12,1
70.67,31.56,78.08,1.49,1.46,1
85.65,75.5,41.58,4.06,3.64,0
55.71,29.88,39.0,1.17,2.06,0
85.16,43.84,74.15,4.05,5.0,0
60.56,24.22,49.6,2.08,4.19,0
77.59,46.24,57.72,1.75,1.59,1
67.21,57.71,56.3,2.06,2.05,0
70.43,69.68,47.77,3.68,4.57,0
75.49,55.74,32.83,3.9,0.79,0
82.9,64.37,43.19,4.45,4.59,0
90.68,41.7,56.34,1.76,4.49,1
76.28,32.87,46.44,3.38,2.9,0
79.97,40.79,48.35,2.82,0.56,0
58.0,44.95,43.02,4.75,0.9,0
88.26,35.55,31.4,2.28,2.04,0
82.64,26.7,78.09,3.37,2.28,0
64.48,41.32,36.11,3.09,1.58,0
73.26,40.02,59.8,1.99,1.22,0
55.0,46.97,79.6,1.82,2.31,0
57.7,72.45,49.15,4.24,2.33,0
80.96,43.66,52.26,4.8,4.31,1
81.83,62.08,53.15,2.89,1.32,0
78.32,56.16,31.48,2.76,4.25,1
65.2,34.51,58.36,3.15,1.44,0
91.27,46.69,74.18,4.87,0.51,1
67.05,62.28,72.37,4.06,2.78,0
80.79,58.33,77.63,3.34,0.59,0
84.16,38.84,45.85,3.24,4.3,0
65.81,73.48,61.62,1.87,3.42,0
95.48,35.67,47.06,2.0,2.25,1
92.0,57.25,78.91,3.52,3.66,1
67.98,61.45,75.42,2.97,0.79,0
74.19,70.17,66.7,2.07,4.56,0
74.07,45.55,48.68,3.27,0.52,0
80.43,16.45,51.69,2.73,1.39,0
64.32,68.77,42.56,1.55,1.39,0
85.38,26.87,57.09,2.66,4.96,0
76.8,41.12,49.76,4.35,2.31,0
87.15,59.5,36.19,4.63,3.98,0
59.37,50.78,58.14,3.45,0.59,0
82.27,31.93,63.26,3.65,3.38,0
87.1,31.55,59.29,2.82,2.05,0
70.74,47.26,59.39,2.97,0.65,0
76.72,69.49,50.87,3.21,3.92,0
57.29,49.93,40.71,2.22,1.95,0
70.98,53.82,35.43,3.12,3.26,0
83.77,36.81,70.26,2.12,1.34,0
67.24,61.3,70.03,1.88,4.59,0
75.72,51.57,58.39,4.91,3.4,1
83.57,47.96,61.81,4.18,4.22,0
99.07,82.19,32.6,2.73,4.06,1
69.54,77.13,35.9,5.0,4.48,0
71.98,49.91,67.95,2.5,1.82,0
73.55,60.21,63.51,2.14,4.77,0
63.44,57.33,58.34,3.47,2.02,0
69.21,64.5,30.79,2.92,4.54,0
68.55,89.22,30.63,3.99,4.62,1
79.04,55.86,33.52,3.34,2.74,0
60.81,63.54,65.32,1.6,4.8,0
75.73,53.15,30.52,2.55,3.18,1
62.64,23.05,66.71,1.41,1.75,0
64.85,36.88,69.52,2.9,1.67,0
70.06,49.32,40.0,2.41,1.51,0
79.8,56.21,77.07,1.55,1.41,1
74.68,55.88,48.09,1.87,3.56,0
71.54,41.09,45.47,2.15,0.97,0
84.94,62.99,64.53,3.5,2.45,0
76.19,66.79,45.49,4.25,3.93,1
85.26,56.98,66.99,4.09,1.19,0
71.93,46.01,35.15,2.96,2.27,0
64.56,44.49,44.89,3.39,1.11,0
58.89,67.82,57.11,1.08,2.74,0
74.44,52.42,74.47,1.38,3.43,0
83.81,46.28,78.93,2.42,1.6,0
80.18,54.69,38.02,4.56,2.19,0
70.24,69.3,51.06,4.41,1.09,0
76.17,65.16,58.34,3.44,1.51,0
62.24,62.22,34.69,4.9,3.38,0
71.96,80.44,36.61,3.87,3.74,1
85.82,26.26,60.88,2.74,2.04,0
76.44,60.07,78.55,4.63,3.11,0
74.44,77.21,42.6,2.88,3.13,0
89.81,36.98,55.92,3.39,2.21,0
71.13,47.75,51.83,1.11,3.78,0
71.03,44.51,76.34,3.64,2.8,0
79.41,56.54,69.65,3.62,2.0,0
64.52,59.45,34.93,2.66,2.35,0
78.81,82.51,76.58,4.39,1.36,1
74.65,60.15,47.81,2.32,2.16,0
76.0,39.56,64.97,3.94,3.55,0
87.93,41.51,76.19,4.78,1.87,0
71.17,64.91,49.05,2.04,4.74,1
73.35,35.42,59.04,3.7,1.97,1
52.04,58.73,57.63,3.92,3.52,0
95.29,33.03,67.25,2.72,1.81,1
66.51,71.4,72.77,4.35,3.89,0
83.64,43.79,64.91,4.95,3.67,1
73.99,62.43,52.27,2.33,2.54,1
69.1,54.08,57.76,2.0,4.17,0
69.76,57.75,63.89,4.82,2.48,0
77.68,29.22,64.77,1.84,3.79,0
95.94,54.71,35.69,1.17,4.71,1
83.78,40.59,52.12,2.42,4.21,0
58.88,48.2,42.56,1.73,4.13,0
77.22,33.21,32.98,2.31,3.45,0
74.99,59.11,67.46,3.97,1.0,0
91.42,57.32,50.07,1.32,2.27,1
76.41,57.37,69.58,2.16,1.16,0
71.04,37.99,67.5,4.0,4.57,1
84.6,60.23,59.5,2.83,4.12,1
75.9,45.64,33.89,2.33,3.68,0
72.86,69.72,65.34,1.45,1.15,0
85.89,79.36,71.05,1.72,4.08,0
60.83,42.49,45.62,3.81,3.11,0
77.64,46.3,56.9,2.56,4.79,0
75.65,98.44,36.72,4.05,2.66,1
58.44,49.47,57.12,4.95,2.6,0
78.01,37.82,32.66,4.24,3.73,0
69.03,49.34,38.93,2.18,4.99,1
62.76,36.93,65.23,4.1,4.9,0
70.84,29.15,62.26,4.65,0.92,0
66.39,50.85,57.11,4.06,4.42,0
94.61,59.98,44.32,1.72,1.16,1
70.77,49.64,47.93,4.96,2.4,0
70.12,62.56,52.94,2.08,2.02,0
62.67,64.29,34.36,1.62,1.14,0
94.06,42.45,47.75,2.14,4.95,1
79.87,34.45,39.95,4.99,2.4,0
84.74,54.75,69.87,3.2,3.36,0
64.08,38.29,51.51,1.61,2.94,0
67.22,47.65,33.42,1.52,4.31,0
72.78,36.84,52.99,2.59,0.86,0
63.82,49.1,65.4,2.76,4.88,0
83.1,53.02,66.6,2.73,4.87,0
85.19,70.56,61.53,4.31,4.86,0
72.73,41.28,37.03,3.79,0.82,0
68.01,53.42,57.81,3.73,2.7,0
65.44,74.51,69.29,4.8,2.29,0
62.18,39.75,50.57,4.48,1.55,0
84.46,77.97,32.76,2.62,1.02,0
93.22,63.82,62.11,2.74,0.74,1
55.01,75.29,39.86,4.69,2.94,0
64.75,31.26,42.77,2.07,0.64,0
76.19,58.47,50.25,4.92,3.15,1
61.31,52.87,53.17,1.13,1.0,0
81.47,54.87,43.04,1.69,3.75,0
71.5,51.6,48.26,4.0,3.46,0
70.57,41.73,47.62,3.37,4.5,0
71.58,55.88,79.96,4.07,2.71,0
88.94,43.96,51.76,4.22,1.06,0
80.19,47.37,47.8,4.97,3.32,1
69.33,36.57,48.4,4.08,1.66,0
73.58,40.73,65.86,2.09,2.54,0
81.91,67.48,55.98,3.95,1.38,0
71.53,43.59,58.03,3.97,3.64,0
69.5,70.98,52.88,2.69,1.8,0
63.58,77.96,70.07,1.28,4.63,1
77.12,45.37,78.52,2.64,2.54,0
65.39,48.21,79.21,1.56,3.91,0
70.77,65.35,34.4,4.18,2.24,0
81.44,54.19,71.27,3.7,2.74,0
72.04,58.71,36.31,4.22,0.68,0
84.73,79.8,48.56,2.28,2.02,0
86.42,46.01,75.53,2.33,4.63,0
74.02,45.84,39.42,3.27,2.04,0
76.71,58.8,70.46,3.02,2.08,0
88.29,52.96,32.7,1.99,3.73,0
65.67,79.04,41.01,4.47,2.38,0
60.84,68.4,49.89,1.72,4.36,0
84.36,34.92,53.69,1.19,1.58,0
82.96,56.35,50.93,3.99,2.01,0
74.16,47.07,41.81,1.68,0.74,1
78.29,39.09,50.35,3.68,2.08,0
78.15,60.02,78.49,3.94,2.75,0
61.54,48.24,41.5,4.64,2.32,0
58.14,45.29,67.51,2.58,3.34,0
90.73,28.85,32.27,4.68,3.61,1
78.7,52.08,37.51,4.85,4.67,0
79.6,31.73,75.62,1.99,0.71,1
70.58,64.04,45.72,1.21,4.69,0
68.02,80.54,64.57,3.35,4.07,1
76.8,28.25,56.35,2.81,1.2,0
72.17,56.65,54.54,4.53,4.6,0
73.8,60.14,75.14,1.46,3.03,0
85.71,55.82,62.87,1.91,0.52,0
78.85,71.29,64.2,1.42,0.78,0
78.08,78.84,47.95,3.73,4.72,0
75.93,64.09,73.33,2.85,0.7,0
72.75,71.94,75.04,4.25,1.42,0
67.0,59.16,48.0,4.98,3.53,1
65.9,43.95,53.8,4.83,2.84,0
92.57,61.75,77.81,3.28,1.95,1
71.55,73.65,79.28,4.07,2.89,0
72.41,39.59,63.62,2.9,3.55,0
85.32,65.4,72.07,2.7,3.62,1
63.64,63.01,79.03,1.04,2.95,0
74.97,35.05,68.01,1.74,3.04,0
68.8,57.25,37.93,4.03,1.18,0
90.05,43.79,56.9,2.13,3.38,1
73.9,45.75,31.54,2.42,2.44,0
70.62,37.39,57.82,4.57,2.32,0
70.79,57.03,37.82,1.41,4.56,0
58.76,62.64,72.22,4.21,0.75,0
72.55,41.8,44.65,2.96,2.44,0
74.96,64.76,47.07,3.63,3.06,1
81.33,29.67,63.1,1.87,3.32,0
72.06,49.37,66.16,1.61,1.34,0
71.23,68.54,38.76,3.3,1.77,0
61.02,77.16,33.66,1.87,1.99,0
76.69,48.89,37.91,4.91,1.51,0
78.24,72.88,53.52,4.05,3.1,0
81.72,38.03,37.51,2.37,2.32,0
69.08,61.35,78.25,3.12,3.07,1
66.83,48.52,53.83,3.1,2.44,0
101.17,54.17,38.51,3.5,2.84,1
85.39,40.95,70.26,2.5,3.15,1
59.99,64.54,34.72,2.84,3.43,0
74.14,48.97,74.37,3.38,4.24,0
65.28,30.76,66.54,1.08,1.16,0
82.04,60.52,65.7,4.46,1.42,0
70.29,40.01,30.59,4.11,1.02,0
74.17,44.37,57.14,4.73,1.24,0
65.5,56.97,31.49,1.27,3.35,0
97.71,40.31,75.43,2.1,3.26,1
72.04,63.86,49.42,1.73,4.71,0
71.9,55.33,61.12,4.05,2.72,0
65.8,23.55,38.77,4.67,1.75,0
71.59,44.94,36.09,3.56,0.82,0
86.59,36.96,58.6,4.07,1.86,0
60.92,44.74,66.34,1.19,4.74,0
73.83,53.86,69.85,2.19,2.42,0
52.49,21.24,73.41,4.36,1.99,0
62.14,54.72,50.86,3.6,4.9,0
66.53,48.17,61.72,1.42,1.97,0
74.39,56.02,55.23,1.63,1.87,0
98.0,58.88,44.26,1.72,4.95,1
69.45,40.57,45.02,3.96,2.7,0
102.26,43.23,61.02,3.84,2.27,1
65.37,65.69,63.21,2.32,1.22,1
86.07,50.93,54.91,2.18,1.21,0
58.08,58.65,59.8,4.75,4.22,0
76.64,58.56,68.41,1.17,3.93,0
66.11,57.04,58.78,1.55,2.44,0
87.03,39.78,42.84,3.13,3.61,0
76.0,80.27,41.14,2.35,3.27,1
82.4,61.53,59.01,1.48,4.94,1
65.39,75.74,59.7,4.0,3.38,0
63.66,59.68,46.84,1.56,3.6,0
73.15,44.94,51.21,4.18,1.8,0
68.63,68.37,39.35,3.27,3.62,0
63.18,46.67,65.43,3.81,3.42,0
70.03,52.47,41.52,3.26,1.42,0
73.23,57.64,49.92,1.4,1.5,0
93.59,62.47,48.67,2.63,2.81,1
78.79,56.54,72.08,3.76,2.45,0
68.13,32.49,60.43,3.64,1.13,1
66.95,58.43,75.54,3.37,3.19,0
75.64,80.38,67.78,4.65,4.22,1
68.79,50.88,59.36,3.78,3.93,0
67.86,37.39,76.93,3.09,4.15,0
66.86,39.01,44.92,4.53,3.55,0
88.14,48.69,34.09,4.88,4.37,0
89.22,50.23,43.87,3.35,4.99,1
68.28,54.9,30.14,2.44,0.87,0
85.77,42.38,45.06,1.94,3.68,0
78.08,31.91,43.59,2.83,4.36,0
72.21,49.64,43.83,1.21,2.8,0
84.27,36.79,55.58,3.78,1.86,0
